conflict_id,person_id,activity_1,activity_2,start_time_1,end_time_1,start_time_2,end_time_2,overlap_start,overlap_end,overlap_duration_minutes,conflict_type,severity,location_1,location_2
CONF_0001,P001,Deployment,Team Building,2025-09-19 09:30,2025-09-19 11:00,2025-09-19 10:30,2025-09-19 11:00,2025-09-19 10:30,2025-09-19 11:00,30.0,full overlap,Medium,Online Meeting,Break Room
CONF_0002,P001,Product Demo,Project Discussion,2025-09-20 13:15,2025-09-20 13:45,2025-09-20 13:29,2025-09-20 14:13,2025-09-20 13:29,2025-09-20 13:45,16.0,partial overlap,Low,Conference Room C,Product Showcase
CONF_0003,P001,Testing Acceptance,Testing Acceptance,2025-09-23 11:00,2025-09-23 12:00,2025-09-23 11:30,2025-09-23 12:30,2025-09-23 11:30,2025-09-23 12:00,30.0,partial overlap,Medium,Test Lab,Office Area 2
CONF_0004,P001,Testing Acceptance,Tech Sharing,2025-09-23 11:00,2025-09-23 12:00,2025-09-23 11:48,2025-09-23 12:24,2025-09-23 11:48,2025-09-23 12:00,12.0,partial overlap,Low,Test Lab,Break Room
CONF_0005,P001,Testing Acceptance,Tech Sharing,2025-09-23 11:30,2025-09-23 12:30,2025-09-23 11:48,2025-09-23 12:24,2025-09-23 11:48,2025-09-23 12:24,36.0,full overlap,Medium,Office Area 2,Break Room
CONF_0006,P001,Operations Check,Code Review,2025-09-24 14:00,2025-09-24 14:45,2025-09-24 14:15,2025-09-24 15:15,2025-09-24 14:15,2025-09-24 14:45,30.0,partial overlap,Medium,R&D Center,Office Area 2
CONF_0007,P001,Operations Check,Training,2025-09-25 10:45,2025-09-25 11:30,2025-09-25 11:07,2025-09-25 11:35,2025-09-25 11:07,2025-09-25 11:30,23.0,partial overlap,Low,Demo Hall,Break Room
CONF_0008,P001,Tech Sharing,One-on-One,2025-09-25 11:45,2025-09-25 12:30,2025-09-25 12:00,2025-09-25 12:45,2025-09-25 12:00,2025-09-25 12:30,30.0,partial overlap,Medium,Demo Hall,Client Reception
CONF_0009,P001,Tech Sharing,Product Demo,2025-09-25 11:45,2025-09-25 12:30,2025-09-25 12:00,2025-09-25 12:45,2025-09-25 12:00,2025-09-25 12:30,30.0,partial overlap,Medium,Demo Hall,Client Reception
CONF_0010,P001,One-on-One,Product Demo,2025-09-25 12:00,2025-09-25 12:45,2025-09-25 12:00,2025-09-25 12:45,2025-09-25 12:00,2025-09-25 12:45,45.0,full overlap,Medium,Client Reception,Client Reception
CONF_0011,P001,Design Review,Code Review,2025-09-25 17:15,2025-09-25 18:00,2025-09-25 17:30,2025-09-25 18:15,2025-09-25 17:30,2025-09-25 18:00,30.0,partial overlap,Medium,Break Room,Client Reception
CONF_0012,P001,Design Review,Code Review,2025-09-25 17:15,2025-09-25 18:00,2025-09-25 17:43,2025-09-25 18:09,2025-09-25 17:43,2025-09-25 18:00,17.0,partial overlap,Low,Break Room,Client Reception
CONF_0013,P001,Code Review,Code Review,2025-09-25 17:30,2025-09-25 18:15,2025-09-25 17:43,2025-09-25 18:09,2025-09-25 17:43,2025-09-25 18:09,26.0,full overlap,Low,Client Reception,Client Reception
