Conflict ID,Person ID,Activity 1,Activity 2,Location 1,Location 2,Start Time 1,End Time 1,Start Time 2,End Time 2,Overlap Start,Overlap End,Overlap Duration (minutes),Conflict Type,Severity
1,P001,Deployment,Team Building,Online Meeting,Break Room,2025-09-19 09:30,2025-09-19 11:00,2025-09-19 10:30,2025-09-19 11:00,2025-09-19 10:30,2025-09-19 11:00,30.00,containment,Medium
2,P001,Product Demo,Project Discussion,Conference Room C,Product Showcase,2025-09-20 13:15,2025-09-20 13:45,2025-09-20 13:29,2025-09-20 14:13,2025-09-20 13:29,2025-09-20 13:45,16.00,partial_overlap,Medium
3,P001,Operations Check,Training,Demo Hall,Break Room,2025-09-25 10:45,2025-09-25 11:30,2025-09-25 11:07,2025-09-25 11:35,2025-09-25 11:07,2025-09-25 11:30,23.00,partial_overlap,Medium
4,P001,Product Demo,One-on-One,Office Area 1,Office Area 2,2025-09-25 18:30,2025-09-25 19:15,2025-09-25 18:00,2025-09-25 19:00,2025-09-25 18:30,2025-09-25 19:00,30.00,partial_overlap,Medium
5,P001,One-on-One,Tech Sharing,Client Reception,Demo Hall,2025-09-25 12:00,2025-09-25 12:45,2025-09-25 11:45,2025-09-25 12:30,2025-09-25 12:00,2025-09-25 12:30,30.00,partial_overlap,Medium
6,P001,One-on-One,Product Demo,Client Reception,Client Reception,2025-09-25 12:00,2025-09-25 12:45,2025-09-25 12:00,2025-09-25 12:45,2025-09-25 12:00,2025-09-25 12:45,45.00,containment,Medium
7,P001,Testing Acceptance,Testing Acceptance,Test Lab,Office Area 2,2025-09-23 11:00,2025-09-23 12:00,2025-09-23 11:30,2025-09-23 12:30,2025-09-23 11:30,2025-09-23 12:00,30.00,partial_overlap,Medium
8,P001,Testing Acceptance,Tech Sharing,Test Lab,Break Room,2025-09-23 11:00,2025-09-23 12:00,2025-09-23 11:48,2025-09-23 12:24,2025-09-23 11:48,2025-09-23 12:00,12.00,partial_overlap,Low
9,P001,Operations Check,Code Review,R&D Center,Office Area 2,2025-09-24 14:00,2025-09-24 14:45,2025-09-24 14:15,2025-09-24 15:15,2025-09-24 14:15,2025-09-24 14:45,30.00,partial_overlap,Medium
10,P001,Training,Training,Demo Hall,Product Showcase,2025-09-28 15:45,2025-09-28 16:30,2025-09-28 16:00,2025-09-28 16:30,2025-09-28 16:00,2025-09-28 16:30,30.00,containment,Medium
11,P001,Training,Requirements Analysis,Demo Hall,Conference Room A,2025-09-28 15:45,2025-09-28 16:30,2025-09-28 16:11,2025-09-28 16:40,2025-09-28 16:11,2025-09-28 16:30,19.00,partial_overlap,Medium
12,P001,Code Review,One-on-One,Client Reception,Office Area 2,2025-09-25 17:30,2025-09-25 18:15,2025-09-25 18:00,2025-09-25 19:00,2025-09-25 18:00,2025-09-25 18:15,15.00,partial_overlap,Medium
13,P001,Code Review,Code Review,Client Reception,Client Reception,2025-09-25 17:30,2025-09-25 18:15,2025-09-25 17:43,2025-09-25 18:09,2025-09-25 17:43,2025-09-25 18:09,26.00,containment,Medium
14,P001,Code Review,Design Review,Client Reception,Break Room,2025-09-25 17:30,2025-09-25 18:15,2025-09-25 17:15,2025-09-25 18:00,2025-09-25 17:30,2025-09-25 18:00,30.00,partial_overlap,Medium
15,P001,One-on-One,Code Review,Office Area 2,Client Reception,2025-09-25 18:00,2025-09-25 19:00,2025-09-25 17:43,2025-09-25 18:09,2025-09-25 18:00,2025-09-25 18:09,9.00,partial_overlap,Low
16,P001,Testing Acceptance,Tech Sharing,Office Area 2,Break Room,2025-09-23 11:30,2025-09-23 12:30,2025-09-23 11:48,2025-09-23 12:24,2025-09-23 11:48,2025-09-23 12:24,36.00,containment,Medium
17,P001,Code Review,Design Review,Client Reception,Break Room,2025-09-25 17:43,2025-09-25 18:09,2025-09-25 17:15,2025-09-25 18:00,2025-09-25 17:43,2025-09-25 18:00,17.00,partial_overlap,Medium
18,P001,Tech Sharing,Requirements Analysis,Conference Room A,Product Showcase,2025-09-26 11:00,2025-09-26 11:45,2025-09-26 11:11,2025-09-26 11:48,2025-09-26 11:11,2025-09-26 11:45,34.00,partial_overlap,Medium
19,P001,Tech Sharing,Product Demo,Demo Hall,Client Reception,2025-09-25 11:45,2025-09-25 12:30,2025-09-25 12:00,2025-09-25 12:45,2025-09-25 12:00,2025-09-25 12:30,30.00,partial_overlap,Medium
20,P001,Training,Requirements Analysis,Product Showcase,Conference Room A,2025-09-28 16:00,2025-09-28 16:30,2025-09-28 16:11,2025-09-28 16:40,2025-09-28 16:11,2025-09-28 16:30,19.00,partial_overlap,Medium
21,P001,Tech Sharing,Brainstorming,Cafe,Conference Room C,2025-10-03 13:15,2025-10-03 13:45,2025-10-03 13:15,2025-10-03 14:00,2025-10-03 13:15,2025-10-03 13:45,30.00,containment,Medium
22,P001,Tech Sharing,Training,Cafe,Remote,2025-10-03 13:15,2025-10-03 13:45,2025-10-03 12:45,2025-10-03 13:30,2025-10-03 13:15,2025-10-03 13:30,15.00,partial_overlap,Medium
23,P001,Code Review,Meeting,Product Showcase,Office Area 1,2025-10-02 13:00,2025-10-02 13:45,2025-10-02 13:00,2025-10-02 13:30,2025-10-02 13:00,2025-10-02 13:30,30.00,containment,Medium
24,P001,Requirements Analysis,Deployment,Demo Hall,Test Lab,2025-09-30 14:00,2025-09-30 14:45,2025-09-30 14:15,2025-09-30 15:00,2025-09-30 14:15,2025-09-30 14:45,30.00,partial_overlap,Medium
