conflict_id,person_id,activity_1,activity_2,time_interval,conflict_type,overlap_minutes,severity
1,P001,Team Building,Deployment,2025-09-19 10:30 - 2025-09-19 11:00,containment,30,Medium
2,P001,Project Discussion,Product Demo,2025-09-20 13:29 - 2025-09-20 13:45,partial overlap,16,Medium
3,P001,Training,Operations Check,2025-09-25 11:07 - 2025-09-25 11:30,partial overlap,23,Medium
4,P001,One-on-One,Product Demo,2025-09-25 18:30 - 2025-09-25 19:00,partial overlap,30,Medium
5,P001,Tech Sharing,One-on-One,2025-09-25 12:00 - 2025-09-25 12:30,partial overlap,30,Medium
6,P001,Product Demo,One-on-One,2025-09-25 12:00 - 2025-09-25 12:45,full overlap,45,High
7,P001,Testing Acceptance,Testing Acceptance,2025-09-23 11:30 - 2025-09-23 12:00,partial overlap,30,Medium
8,P001,Tech Sharing,Testing Acceptance,2025-09-23 11:48 - 2025-09-23 12:00,partial overlap,12,Low
9,P001,Code Review,Operations Check,2025-09-24 14:15 - 2025-09-24 14:45,partial overlap,30,Medium
10,P001,Training,Training,2025-09-28 16:00 - 2025-09-28 16:30,containment,30,Medium
11,P001,Requirements Analysis,Training,2025-09-28 16:11 - 2025-09-28 16:30,partial overlap,19,Medium
12,P001,Design Review,Code Review,2025-09-25 17:30 - 2025-09-25 18:00,partial overlap,30,Medium
13,P001,Code Review,Code Review,2025-09-25 17:43 - 2025-09-25 18:09,containment,26,Medium
14,P001,One-on-One,Code Review,2025-09-25 18:00 - 2025-09-25 18:15,partial overlap,15,Medium
15,P001,Code Review,One-on-One,2025-09-25 18:00 - 2025-09-25 18:09,partial overlap,9,Low
16,P001,Tech Sharing,Testing Acceptance,2025-09-23 11:48 - 2025-09-23 12:24,containment,36,Medium
17,P001,Design Review,Code Review,2025-09-25 17:43 - 2025-09-25 18:00,partial overlap,17,Medium
18,P001,Requirements Analysis,Tech Sharing,2025-09-26 11:11 - 2025-09-26 11:45,partial overlap,34,Medium
19,P001,Product Demo,Tech Sharing,2025-09-25 12:00 - 2025-09-25 12:30,partial overlap,30,Medium
20,P001,Requirements Analysis,Training,2025-09-28 16:11 - 2025-09-28 16:30,partial overlap,19,Medium
21,P001,Training,Tech Sharing,2025-10-03 13:15 - 2025-10-03 13:30,partial overlap,15,Medium
22,P001,Brainstorming,Tech Sharing,2025-10-03 13:15 - 2025-10-03 13:45,containment,30,Medium
