conflict_id,person_id,activity_1,activity_2,start_time_1,end_time_1,start_time_2,end_time_2,overlap_start,overlap_end,overlap_duration_minutes,conflict_type,severity,location_1,location_2
CONF_0001,P001,Deployment,Team Building,2025-09-19 09:30,2025-09-19 11:00,2025-09-19 10:30,2025-09-19 11:00,2025-09-19 10:30,2025-09-19 11:00,30.0,full overlap,Medium,Online Meeting,Break Room
CONF_0002,P002,Training,Operations Check,2025-09-13 12:15,2025-09-13 13:15,2025-09-13 12:30,2025-09-13 13:29,2025-09-13 12:30,2025-09-13 13:15,45.0,partial overlap,Medium,Office Area 1,Online Meeting
CONF_0003,P002,Team Building,Requirements Analysis,2025-09-14 16:45,2025-09-14 18:15,2025-09-14 16:45,2025-09-14 17:45,2025-09-14 16:45,2025-09-14 17:45,60.0,full overlap,High,Remote,Office Area 2
CONF_0004,P002,Brainstorming,Deployment,2025-09-21 12:15,2025-09-21 13:45,2025-09-21 12:22,2025-09-21 12:47,2025-09-21 12:22,2025-09-21 12:47,25.0,full overlap,Low,Test Lab,Remote
CONF_0005,P003,Product Demo,Team Building,2025-09-14 17:15,2025-09-14 17:45,2025-09-14 17:00,2025-09-14 17:30,2025-09-14 17:15,2025-09-14 17:30,15.0,partial overlap,Low,Test Lab,Conference Room C
CONF_0006,P003,Team Building,Testing Acceptance,2025-09-11 12:45,2025-09-11 13:15,2025-09-11 13:13,2025-09-11 13:58,2025-09-11 13:13,2025-09-11 13:15,2.0,partial overlap,Low,R&D Center,Conference Room A
CONF_0007,P004,Training,Operations Check,2025-09-12 15:15,2025-09-12 16:45,2025-09-12 15:40,2025-09-12 16:05,2025-09-12 15:40,2025-09-12 16:05,25.0,full overlap,Low,Office Area 2,Office Area 1
CONF_0008,P004,Requirements Analysis,Design Review,2025-09-17 18:45,2025-09-17 19:15,2025-09-17 19:02,2025-09-17 19:48,2025-09-17 19:02,2025-09-17 19:15,13.0,partial overlap,Low,Office Area 2,Break Room
CONF_0009,P004,One-on-One,Project Discussion,2025-09-18 17:15,2025-09-18 18:00,2025-09-18 17:35,2025-09-18 18:13,2025-09-18 17:35,2025-09-18 18:00,25.0,partial overlap,Low,Office Area 1,Test Lab
CONF_0010,P005,Project Discussion,Design Review,2025-09-15 10:15,2025-09-15 11:15,2025-09-15 10:28,2025-09-15 11:25,2025-09-15 10:28,2025-09-15 11:15,47.0,partial overlap,Medium,Break Room,Office Area 1
CONF_0011,P005,One-on-One,One-on-One,2025-09-16 17:45,2025-09-16 18:15,2025-09-16 18:00,2025-09-16 19:00,2025-09-16 18:00,2025-09-16 18:15,15.0,partial overlap,Low,Online Meeting,Office Area 2
CONF_0012,P005,One-on-One,Testing Acceptance,2025-09-16 17:45,2025-09-16 18:15,2025-09-16 17:30,2025-09-16 18:00,2025-09-16 17:45,2025-09-16 18:00,15.0,partial overlap,Low,Online Meeting,R&D Center
CONF_0013,P005,One-on-One,Operations Check,2025-09-16 17:45,2025-09-16 18:15,2025-09-16 18:11,2025-09-16 18:45,2025-09-16 18:11,2025-09-16 18:15,4.0,partial overlap,Low,Online Meeting,Office Area 2
CONF_0014,P005,Tech Sharing,Product Demo,2025-09-19 14:00,2025-09-19 14:45,2025-09-19 14:15,2025-09-19 14:57,2025-09-19 14:15,2025-09-19 14:45,30.0,partial overlap,Medium,Product Showcase,Conference Room C
CONF_0015,P005,One-on-One,Operations Check,2025-09-16 18:00,2025-09-16 19:00,2025-09-16 18:11,2025-09-16 18:45,2025-09-16 18:11,2025-09-16 18:45,34.0,full overlap,Medium,Office Area 2,Office Area 2
CONF_0016,P005,Client Visit,Client Visit,2025-09-18 18:45,2025-09-18 19:30,2025-09-18 18:15,2025-09-18 19:00,2025-09-18 18:45,2025-09-18 19:00,15.0,partial overlap,Low,Office Area 2,Break Room
CONF_0017,P005,Product Demo,Design Review,2025-09-17 08:15,2025-09-17 08:45,2025-09-17 08:22,2025-09-17 09:09,2025-09-17 08:22,2025-09-17 08:45,23.0,partial overlap,Low,Online Meeting,Test Lab
CONF_0018,P001,Product Demo,Project Discussion,2025-09-20 13:15,2025-09-20 13:45,2025-09-20 13:29,2025-09-20 14:13,2025-09-20 13:29,2025-09-20 13:45,16.0,partial overlap,Low,Conference Room C,Product Showcase
CONF_0019,P001,Operations Check,Training,2025-09-25 10:45,2025-09-25 11:30,2025-09-25 11:07,2025-09-25 11:35,2025-09-25 11:07,2025-09-25 11:30,23.0,partial overlap,Low,Demo Hall,Break Room
CONF_0020,P001,Product Demo,One-on-One,2025-09-25 18:30,2025-09-25 19:15,2025-09-25 18:00,2025-09-25 19:00,2025-09-25 18:30,2025-09-25 19:00,30.0,partial overlap,Medium,Office Area 1,Office Area 2
CONF_0021,P001,One-on-One,Tech Sharing,2025-09-25 12:00,2025-09-25 12:45,2025-09-25 11:45,2025-09-25 12:30,2025-09-25 12:00,2025-09-25 12:30,30.0,partial overlap,Medium,Client Reception,Demo Hall
CONF_0022,P001,One-on-One,Product Demo,2025-09-25 12:00,2025-09-25 12:45,2025-09-25 12:00,2025-09-25 12:45,2025-09-25 12:00,2025-09-25 12:45,45.0,full overlap,Medium,Client Reception,Client Reception
CONF_0023,P001,Testing Acceptance,Testing Acceptance,2025-09-23 11:00,2025-09-23 12:00,2025-09-23 11:30,2025-09-23 12:30,2025-09-23 11:30,2025-09-23 12:00,30.0,partial overlap,Medium,Test Lab,Office Area 2
CONF_0024,P001,Testing Acceptance,Tech Sharing,2025-09-23 11:00,2025-09-23 12:00,2025-09-23 11:48,2025-09-23 12:24,2025-09-23 11:48,2025-09-23 12:00,12.0,partial overlap,Low,Test Lab,Break Room
CONF_0025,P001,Operations Check,Code Review,2025-09-24 14:00,2025-09-24 14:45,2025-09-24 14:15,2025-09-24 15:15,2025-09-24 14:15,2025-09-24 14:45,30.0,partial overlap,Medium,R&D Center,Office Area 2
CONF_0026,P001,Training,Training,2025-09-28 15:45,2025-09-28 16:30,2025-09-28 16:00,2025-09-28 16:30,2025-09-28 16:00,2025-09-28 16:30,30.0,full overlap,Medium,Demo Hall,Product Showcase
CONF_0027,P001,Training,Requirements Analysis,2025-09-28 15:45,2025-09-28 16:30,2025-09-28 16:11,2025-09-28 16:40,2025-09-28 16:11,2025-09-28 16:30,19.0,partial overlap,Low,Demo Hall,Conference Room A
CONF_0028,P001,Code Review,One-on-One,2025-09-25 17:30,2025-09-25 18:15,2025-09-25 18:00,2025-09-25 19:00,2025-09-25 18:00,2025-09-25 18:15,15.0,partial overlap,Low,Client Reception,Office Area 2
CONF_0029,P001,Code Review,Code Review,2025-09-25 17:30,2025-09-25 18:15,2025-09-25 17:43,2025-09-25 18:09,2025-09-25 17:43,2025-09-25 18:09,26.0,full overlap,Low,Client Reception,Client Reception
CONF_0030,P001,Code Review,Design Review,2025-09-25 17:30,2025-09-25 18:15,2025-09-25 17:15,2025-09-25 18:00,2025-09-25 17:30,2025-09-25 18:00,30.0,partial overlap,Medium,Client Reception,Break Room
