conflict_id,person_id,activity_1,activity_2,start_time_1,end_time_1,start_time_2,end_time_2,overlap_start,overlap_end,overlap_duration_minutes,conflict_type,severity,location_1,location_2
CONF_0001,P001,Team Building,Deployment,2025-09-19 10:30,2025-09-19 11:00,2025-09-19 09:30,2025-09-19 11:00,2025-09-19 10:30,2025-09-19 11:00,30.0,full overlap,Medium,Break Room,Online Meeting
CONF_0002,P001,One-on-One,Product Demo,2025-09-25 18:00,2025-09-25 19:00,2025-09-25 18:30,2025-09-25 19:15,2025-09-25 18:30,2025-09-25 19:00,30.0,partial overlap,Medium,Office Area 2,Office Area 1
CONF_0003,P001,One-on-One,Code Review,2025-09-25 18:00,2025-09-25 19:00,2025-09-25 17:30,2025-09-25 18:15,2025-09-25 18:00,2025-09-25 18:15,15.0,partial overlap,Low,Office Area 2,Client Reception
CONF_0004,P001,Code Review,Operations Check,2025-09-24 14:15,2025-09-24 15:15,2025-09-24 14:00,2025-09-24 14:45,2025-09-24 14:15,2025-09-24 14:45,30.0,partial overlap,Medium,Office Area 2,R&D Center
CONF_0005,P001,Testing Acceptance,Testing Acceptance,2025-09-23 11:30,2025-09-23 12:30,2025-09-23 11:00,2025-09-23 12:00,2025-09-23 11:30,2025-09-23 12:00,30.0,partial overlap,Medium,Office Area 2,Test Lab
CONF_0006,P001,Training,Operations Check,2025-09-25 11:07,2025-09-25 11:35,2025-09-25 10:45,2025-09-25 11:30,2025-09-25 11:07,2025-09-25 11:30,23.0,partial overlap,Low,Break Room,Demo Hall
CONF_0007,P001,Project Discussion,Product Demo,2025-09-20 13:29,2025-09-20 14:13,2025-09-20 13:15,2025-09-20 13:45,2025-09-20 13:29,2025-09-20 13:45,16.0,partial overlap,Low,Product Showcase,Conference Room C
CONF_0008,P001,Tech Sharing,Testing Acceptance,2025-09-23 11:48,2025-09-23 12:24,2025-09-23 11:30,2025-09-23 12:30,2025-09-23 11:48,2025-09-23 12:24,36.0,full overlap,Medium,Break Room,Office Area 2
CONF_0009,P001,Tech Sharing,Testing Acceptance,2025-09-23 11:48,2025-09-23 12:24,2025-09-23 11:00,2025-09-23 12:00,2025-09-23 11:48,2025-09-23 12:00,12.0,partial overlap,Low,Break Room,Test Lab
CONF_0010,P001,Code Review,One-on-One,2025-09-25 17:43,2025-09-25 18:09,2025-09-25 18:00,2025-09-25 19:00,2025-09-25 18:00,2025-09-25 18:09,9.0,partial overlap,Low,Client Reception,Office Area 2
CONF_0011,P001,Code Review,Code Review,2025-09-25 17:43,2025-09-25 18:09,2025-09-25 17:30,2025-09-25 18:15,2025-09-25 17:43,2025-09-25 18:09,26.0,full overlap,Low,Client Reception,Client Reception
CONF_0012,P001,Tech Sharing,One-on-One,2025-09-25 11:45,2025-09-25 12:30,2025-09-25 12:00,2025-09-25 12:45,2025-09-25 12:00,2025-09-25 12:30,30.0,partial overlap,Medium,Demo Hall,Client Reception
CONF_0013,P001,Design Review,Code Review,2025-09-25 17:15,2025-09-25 18:00,2025-09-25 17:30,2025-09-25 18:15,2025-09-25 17:30,2025-09-25 18:00,30.0,partial overlap,Medium,Break Room,Client Reception
CONF_0014,P001,Design Review,Code Review,2025-09-25 17:15,2025-09-25 18:00,2025-09-25 17:43,2025-09-25 18:09,2025-09-25 17:43,2025-09-25 18:00,17.0,partial overlap,Low,Break Room,Client Reception
CONF_0015,P001,Product Demo,One-on-One,2025-09-25 12:00,2025-09-25 12:45,2025-09-25 12:00,2025-09-25 12:45,2025-09-25 12:00,2025-09-25 12:45,45.0,full overlap,Medium,Client Reception,Client Reception
